"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2014","19,750","19,500","19,825","19,500","2.67M","1.41%"
"01/06/2014","19,475","19,550","19,550","19,350","2.93M","-0.38%"
"01/03/2014","19,550","19,300","19,900","18,900","2.43M","1.03%"
"01/02/2014","19,350","19,000","19,450","19,000","1.28M","1.84%"
"01/01/2014","19,000","19,100","19,100","18,550","1.15M","0.00%"
"12/30/2013","19,000","19,100","19,100","18,550","1.15M","1.33%"
"12/27/2013","18,750","18,900","19,100","18,700","1.25M","0.00%"
"12/24/2013","18,750","18,850","18,900","18,650","694.50K","0.00%"
"12/23/2013","18,750","18,500","18,800","18,500","1.12M","0.27%"
"12/20/2013","18,700","18,500","18,900","18,500","1.61M","0.54%"
"12/19/2013","18,600","18,450","18,600","18,250","2.50M","2.48%"
